"Página","Curso","Categoria","Gratuito","URL do curso"
"6","Análise de dados no Power BI","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/analise-de-dados-no-power-bi/"
"6","Princípios do marketing digital","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/principios-do-marketing-digital/"
"6","Game Design","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/game-design/"
"6","Introdução à Programação – Escola do Trabalhador 4.0","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/introducao-a-programacao-escola-do-trabalhador-4-0/"
"6","Noções básicas de Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/nocoes-basicas-de-python/"
"7","Minicurso de Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/minicurso-de-python/"
"7","Domine a IA com prompting responsável","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/domine-a-ia-com-prompting-responsavel/"
"7","Conceitos básicos de IA do Microsoft Azure: Visão geral da IA","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/conceitos-basicos-de-ia-do-microsoft-azure-visao-geral-da-ia/"
"7","GitHub","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/github/"
"7","Jovens Líderes","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/jovens-lideres/"
"7","Minicurso de Java","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/minicurso-de-java/"
"7","Introdução ao Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/o-que-e-python/"
"7","Programação em Python – Algoritmos","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/programacao-em-python-algoritmos/"
"7","Learn to Program","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/learn-to-program/"
"8","Comece o seu currículo","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/comece-o-seu-curriculo/"
"8","Fundamentos de inglês: faça networking com confiança e se destaque nas entrevistas","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/fundamentos-de-ingles-faca-networking-com-confianca-e-se-destaque-nas-entrevistas/"
"8","Fundamentos da Tecnologia da Informação","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/tecnologia-da-informacao/"
"8","Como falar em público","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/como-falar-em-publico-2/"
"8","Business Administration Specialist","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/business-administration-specialist/"
"8","Introdução ao Agile","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/introducao-ao-agile/"
"8","Eu Capacito – Administrador Salesforce","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/administrador-salesforce/"
"8","Qualidade e agilidade na apresentação do trabalho","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/qualidade-e-agilidade-na-apresentacao-do-trabalho/"
"8","Design Thinking – Primeiros passos","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/design-thinking-primeiros-passos-ibm/"
"9","Conceitos básicos da segurança de rede","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/conceitos-basicos-da-seguranca-de-rede/"
"9","Teste com Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/teste-com-python/"
